param m :=20 ;
param n :=40 ;


param: c := 
1  0
2  0
3  0
4  0
5  0
6  0
7  29970
8  29970
9  29910
10  29910
11  -1000
12  -1000
13  -1000
14  -1000
15  -1200
16  -1200
17  -1200
18  -1200
19  -20
20  -20
21  -20
22  -20
23  -3000
24  -3000
25  -20
26  -20
27  -20
28  -20
29  -300
30  -300
31  -300
32  -300
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0;


param: b := 
1  130
2  190
3  8
4  80000
5  70000
6  70000
7  1000
8  1000
9  0
10  0
11  0
12  0
13  5
14  0
15  2
16  0
17  6
18  0
19  4
20  4;


param A : 
1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40:=
1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  900  90  0  0  0  0  0  0
4  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  900  90  0  0  0  0
5  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  600  60  0  0
6  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  600  60
7  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
8  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
9  0  0  0  0  0  0  0  0  0  0  -1  0  0  0  -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  0  0  0  0  0  0  0
10  0  0  0  0  0  0  0  0  0  0  0  0  -1  0  0  0  -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  0  0  0
11  0  0  0  0  0  0  0  0  0  0  0  -1  0  0  0  -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  0  0  0  0  0
12  0  0  0  0  0  0  0  0  0  0  0  0  0  -1  0  0  0  -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  0
13  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  -1  0  0  0  0  0  0  0
14  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  -1  1  0  0  0  0  -1  0  0  0  0  0
15  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  -1  0  0  0
16  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  -1  1  0  0  0  0  0  0  -1  0
17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  -1  0  0  0  0  0  0
18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  -1  0  0  0  -1  1  0  0  0  0  0  0  0  0  1  -1  0  0  0  0
19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  -1  0  0
20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  -1  0  0;
