param m :=8 ;
param n :=14 ;


param: c := 
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
;


param: b := 
1  20
2  20
3  20
4  0
5  0
6  10
7  20
8  30
;


param A : 
1  2  3  4  5  6  7  8  9  10  11  12  13  14:=
1  1  0  0  0  0  0  1  0  0  0  0  0  0  0
2  0  1  0  0  0  0  0  1  1  0  0  0  0  0
3  0  0  1  0  0  0  0  0  0  1  0  0  0  0
4  0  0  0  0  0  0  1  1  0  0  -1  -1  0  0
5  0  0  0  0  0  0  0  0  1  1  0  0  -1  -1
6  0  0  0  -1  0  0  0  0  0  0  1  0  0  0
7  0  0  0  0  -1  0  0  0  0  0  0  1  1  0
8  0  0  0  0  0  -1  0  0  0  0  0  0  0  1
;
